business_id,name,city,state,postal_code,latitude,longitude,stars,review_count,is_open,outdoorseating,restaurantsdelivery,restaurantstakeout,restaurantsreservations,businessacceptscreditcards,goodforkids,hastv,caters,wifi,alcohol,restaurantspricerange2,fast_food,casual_dining,fine_dining,bars_nightlife,coffee_dessert,ethnic_food,pizza_italian,healthy_options,seafood,buffet,num_category_groups,days_open,open_weekend
72_X-wxr9TyT6OqYb-y0sA,Crafty's Tap Room,Philadelphia,PA,19114,40.0682106059,-75.0063144735,4.0,34,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,full_bar,1.0,0,1,0,1,0,0,0,0,0,0,2,7,1
L8_JnkQUdlUEc3QPs7H98g,The Marketplace Eatery,King of Prussia,PA,19406,40.0880515835,-75.3915068174,3.0,9,1,,1.0,1.0,,,,1.0,,ufree,,,0,0,0,1,1,1,0,0,0,0,3,7,1
m7t75KdwXR9GAyvRvppk0Q,Applebee's Grill + Bar,Arnold,MO,63010,38.4433,-90.3765,3.0,31,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,free,full_bar,2.0,1,1,1,1,1,0,0,0,0,0,5,7,1
hFhkY65hFZD0oFZlR6l4EA,Landolfi's Cafe & Deli,Yardley,PA,19067,40.241805,-74.837624,3.5,28,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,ufree,none,1.0,0,1,0,0,0,0,0,0,0,0,1,7,1
wMQMMxaGq0HPG0mApezXMw,Ahi Sushi Bar,Eagle,ID,83616,43.6930332,-116.3386417,4.0,113,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ufree,ubeer_and_wine,2.0,0,0,0,1,0,1,0,0,1,0,3,6,1
7yq7vzRlyb7Kv_Z5op6dxw,J. Alexander's Restaurant,Franklin,TN,37064,35.963931,-86.811252,4.0,297,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,uno,ufull_bar,2.0,0,1,1,0,1,0,0,0,1,0,4,7,1
-_jxFZVaC3r1TppArnlxZQ,The Locale,Brownsburg,IN,46112,39.838218,-86.384654,3.5,110,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ufree,ufull_bar,2.0,0,1,0,0,0,0,0,0,0,0,1,6,1
nLj6MN9yDrRAao-u2a2xtw,Hi-Pointe Drive-In,St Louis,MO,63101,38.6302888,-90.1903686,4.0,103,1,1.0,1.0,1.0,0.0,1.0,,1.0,,,ubeer_and_wine,2.0,1,0,0,0,1,0,0,0,0,0,2,7,1
Ep3jEZKSjvaFGmyIlWhOPw,Gelato Irpino Media,Media,PA,19063,39.9178655531,-75.3912783516,4.5,6,1,,,1.0,,1.0,,,,,,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0
plO63TLTr3z1ZmZVmDibKw,Chowobunga,Meridian,ID,83642,43.605878,-116.3927921,5.0,7,1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,0
J_w5J7dgRpyB4GFiBJIDIg,Xoom Juice,Tucson,AZ,85716,32.236409,-110.931314,4.0,46,0,1.0,1.0,1.0,,1.0,,,1.0,free,,1.0,0,0,0,1,1,0,0,0,0,0,2,7,1
oLV14RPXy_gCS9gvlAofSg,McDonald's,Chesterfield,MO,63017,38.6261663223,-90.5164505448,2.0,39,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ufree,none,1.0,1,0,0,0,1,0,0,0,0,0,2,7,1
Wy3s-xxiqZBg5Y1eSzI2DQ,Tex-Mex Burrito,Wilmington,DE,19809,39.7682362,-75.5049676,4.0,27,1,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,uno,ufull_bar,,0,0,0,0,0,1,0,0,0,0,1,7,1
9MHIC3BTGyE68EHD52XLCw,Taco bus,Riverview,FL,33578,27.8549178,-82.3396469,2.5,10,0,,1.0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,7,1
atrewLpT5jbpDXeznOTqdA,Jet's Pizza,Gallatin,TN,37066,36.3749978047,-86.4784367494,2.5,20,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ufree,unone,2.0,0,0,0,0,0,0,1,0,0,0,1,7,1
1r3A72SyrIPbj2YK5vahWg,Pizza Hut,Indianapolis,IN,46254,39.8515318,-86.263116,1.5,12,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,upaid,ufull_bar,4.0,1,0,0,0,0,0,1,0,0,0,2,6,1
V8tDVx8CD2-O_yi14lRf9g,Huevos,New Orleans,LA,70119,29.9743423,-90.1068849,3.0,36,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,unone,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1
YpJTxfEiXfH3iC9md0zIDg,Cafe Roze,Nashville,TN,37206,36.1885313,-86.7290353,4.0,255,1,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,uno,ufull_bar,2.0,0,1,0,1,0,0,0,0,0,0,2,7,1
ED3_BgIK4rj67MtWXMcefg,Cajun Grill & Bar,Metairie,LA,70001,29.9950007,-90.1581447,3.0,40,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,uno,ufull_bar,1.0,0,0,0,1,0,0,1,0,0,0,2,6,1
_-SSObHzljeA11HAF0lIrQ,Hardee's,Tampa,FL,33614,27.9955205,-82.512474,2.5,27,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,no,none,1.0,1,0,0,0,0,0,0,0,0,0,1,7,1
kJ4eS5zR7syG86GyBCOtAw,Wendy's,Riverview,FL,33578,27.9138120289,-82.3472617436,2.0,6,1,,1.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,7,1
XVBhNSpKCMz1yJcFtgL2ng,Phileo Yogurt,Philadelphia,PA,19147,39.9416785325,-75.1494613095,4.0,202,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,uno,unone,1.0,0,0,0,0,0,0,0,0,0,0,0,7,1
oibnXxBAR9HdvEOH-QK9aA,Tavolino Ristorante Italiano,Tucson,AZ,85718,32.322238,-110.930565,4.0,381,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ufree,ufull_bar,2.0,0,1,0,0,0,0,1,1,0,0,3,7,1
a7__VvDjHpgpncosFsYArA,Tony's Famous Tomato Pie,Philadelphia,PA,19135,40.0284115716,-75.0590577797,4.0,113,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ufree,full_bar,2.0,0,1,1,1,1,0,1,0,0,0,5,7,1
LGOGgAMIqxhuJbycvIwIdA,Don Giovanni's Classic Bakery,Feasterville,PA,19053,40.1555596,-75.0111427,4.0,55,1,,1.0,1.0,,1.0,,,1.0,,,2.0,0,0,0,0,1,0,1,0,0,0,2,6,1
HI5ldaAiOYY-ii5LsgARug,The Grill  Smuckers,Philadelphia,PA,19107,39.9532,-75.159408,4.5,118,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,ufree,unone,1.0,0,1,0,0,0,0,0,0,0,0,1,6,1
MlLct82m1l2RxwC_i_D4jw,D'amore's Mercato,Edmonton,AB,T6E 5H5,53.484665,-113.487529,4.5,38,0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,no,beer_and_wine,2.0,0,0,0,0,1,0,1,0,0,0,2,7,1
fFwq7Dthkh82nbhBSed2yg,Webster's Restaurant,Metairie,LA,70006,30.0041695,-90.1854614,2.5,7,0,1.0,0.0,,0.0,0.0,1.0,1.0,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
fafQhp6heiBWbOPBooB82g,Chin Kee Restaurant,Edmonton,AB,T5P 3Z1,53.541027,-113.589855,3.0,18,0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,uno,,2.0,0,0,0,0,0,1,0,0,0,0,1,7,1
F7YS-l6nPkuFMD5nO_QIow,Fito's Taco Shop,Vail,AZ,85641,32.0450106,-110.7145326,3.0,76,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,uno,none,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0
ld1b8y_PHH6Mn_e7T0u04g,Gachi Sushi and Noodle,Philadelphia,PA,19153,39.8946117,-75.2292952,4.0,95,1,0.0,0.0,1.0,0.0,1.0,,,,ufree,full_bar,2.0,0,0,0,1,0,1,0,0,0,0,2,7,1
gMoe3YyH9Ur3gKij-PwcVw,Papa John's Pizza,Goodlettsville,TN,37072,36.3181703963,-86.7135864761,3.0,9,1,,1.0,1.0,0.0,1.0,,,0.0,,,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0
wqj6JquckEOs1h7rs376kQ,Pho King,Edmonton,AB,T5B 0T9,53.570101,-113.481466,4.0,58,1,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,ufree,unone,2.0,0,0,0,0,0,1,0,0,0,0,1,7,1
JJRRJEmis9QlmGnE5WZk8A,Thai Kitchen Restaurant,Fishers,IN,46038,39.950642,-86.042093,4.0,338,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,uno,ubeer_and_wine,2.0,0,0,0,0,0,1,0,0,0,0,1,7,1
3-71QXMKNtHi4DvSFogm-Q,Angie's Kitchen,Philadelphia,PA,19143,39.94995,-75.2272969,3.5,7,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,ufree,unone,2.0,0,0,0,0,0,0,0,0,0,0,0,6,1
bsOfVBg6tHKMddF0eJNRSQ,Grille By The Hill,New Orleans,LA,70118,29.9227414,-90.1236492,3.5,16,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,uno,ufull_bar,3.0,0,1,0,0,0,0,0,0,0,0,1,3,1
_hBFNHhw8MHIlyNT3tuAKw,Wendy's,Indianapolis,IN,46227,39.68981,-86.149301,2.5,8,1,,1.0,1.0,0.0,1.0,1.0,1.0,,,none,1.0,1,0,0,0,0,0,0,0,0,0,1,7,1
wmKvuZUKr-Ia8rfOMsFCHA,Starbucks,St. Louis,MO,63103,38.6297223991,-90.2168207448,3.5,13,1,,,,,,,,,ufree,,,0,1,0,0,1,0,0,0,0,0,2,7,1
onGxDcux4J8BMaajFfSr4w,Uncle Bill's Country Market,Levittown,PA,19056,40.1668101974,-74.8961294323,3.5,27,1,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,uno,unone,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6afF6p9H4jZSQ3X8mfss5Q,Taco Bell,Tucson,AZ,85704,32.350525,-110.975092,3.0,20,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,no,none,1.0,1,0,0,0,0,1,0,0,0,0,2,7,1
3Pg5OCtihG3ThU_aDjkkHw,Lucky's Market,Saint Petersburg,FL,33710,27.7918579713,-82.7321261913,3.5,83,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,beer_and_wine,2.0,0,0,0,0,0,0,0,0,0,0,0,7,1
AHLsupKoLHiRXksrFbCzCw,Village Inn Restaurant,Tampa,FL,33626,28.0687355923,-82.6324332462,3.5,59,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,free,unone,1.0,0,1,0,0,0,0,0,0,0,0,1,7,1
L5au-8jxTj5WUhiYNCpnXg,Fork & Fire,Tucson,AZ,85755,32.4606031,-110.9745074,4.0,23,1,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,uno,unone,,0,0,0,0,0,1,0,0,0,0,1,7,1
2pov9KtQBTChfCoJ0IvU5A,MisterLino,Speedway,IN,46224,39.783361,-86.240019,3.5,72,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ufree,ufull_bar,1.0,0,1,0,1,1,0,1,0,0,0,4,6,1
5DDdiTlpK6Z2fqFs4uSTQQ,Iron Hill Brewery & Restaurant,Phoenixville,PA,19460,40.1340672,-75.5137942,4.0,274,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ufree,full_bar,2.0,0,1,0,1,0,0,0,0,0,0,2,7,1
ts3sub_rBt9AlHLFrkBOHw,Pizza Perfect - Hillsboro Village,Nashville,TN,37212,36.1386026,-86.8003583,4.0,220,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ufree,ubeer_and_wine,1.0,0,0,0,0,1,0,1,0,0,0,2,7,1
aUuwxNRl2SJP64jkI67cbg,LongHorn Steakhouse,Florissant,MO,63033,38.8037554,-90.3102687,3.0,54,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,free,ufull_bar,2.0,0,1,1,0,1,0,0,0,0,0,3,7,1
YHpaAneR3gxFm6Ol_EKJAg,Subway,Tampa,FL,33605,27.959856,-82.402366,4.0,5,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,unone,1.0,1,0,0,0,0,0,0,0,0,0,1,7,1
